files,id,ra,dec,source
004+57.58450.wp.fits,1,4.0,57.0,Tycho
006+57.58650.wp.fits,2,6.0,57.0,unknown
012+58.58400.wp.fits,3,12.0,58.0,Tycho
013+59.58400.wp.fits,4,13.0,59.0,Tycho
015+59.58400.wp.fits,5,15.0,59.0,Tycho
016+59.58400.wp.fits,6,16.0,59.0,Tycho
017+59.58400.wp.fits,7,17.0,59.0,Tycho
022+58.58400.wp.fits,8,22.0,58.0,unknown
082+12.58500.wp.fits,9,82.0,12.0,unknown
320+59.58450.wp.fits,10,320.0,59.0,unknown
323+58.58400.wp.fits,11,323.0,58.0,unknown
325+57.58400.wp.fits,12,325.0,57.0,unknown
326+57.58400.wp.fits,13,326.0,57.0,unknown
339+57.58400.wp.fits,14,339.0,57.0,CasA
348+64.58400.wp.fits,15,348.0,64.0,CasA
350+60.58400.wp.fits,16,350.0,60.0,Tycho
352+60.58400.wp.fits,17,352.0,60.0,Tycho
353+59.58650.wp.fits,18,353.0,59.0,Tycho
354+59.58450.wp.fits,19,354.0,59.0,Tycho
